ID;Class1;Class2;Class3;Class4;Class5;Class6;Class7;Class8;Class9;Class10;Class11;Class12;Class13;Class14
1000;0;0;0;0;0;0;1;1;0;0;0;1;1;0
1001;0;0;1;1;0;0;0;0;0;0;0;0;0;0
1002;0;1;1;0;0;0;0;0;0;0;0;1;1;0
1003;0;0;1;1;0;0;0;0;0;0;0;0;0;0
1004;0;0;1;1;1;1;0;0;0;0;0;0;0;0
1005;0;0;0;0;0;0;0;0;0;1;1;1;1;0
1006;1;0;0;0;0;0;0;0;0;0;0;1;1;0
1007;1;0;1;1;0;0;0;0;0;0;0;1;1;0
1008;1;1;0;0;0;0;0;0;0;0;0;1;1;0
1009;0;0;1;1;0;0;0;0;0;0;0;1;1;0
1010;0;0;0;0;1;1;1;1;0;0;0;0;0;0
1011;0;0;0;0;0;0;0;0;0;1;1;1;1;0
1012;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1013;0;0;0;1;1;0;0;0;0;0;0;1;1;0
1014;0;0;0;0;0;0;0;1;1;0;0;0;0;0
1015;1;0;1;1;0;0;0;0;0;1;1;1;1;0
1016;0;0;0;0;1;1;0;0;0;0;0;1;1;0
1017;1;1;0;0;0;0;0;0;0;0;0;1;1;0
1018;0;0;0;1;1;0;0;0;0;0;0;1;1;0
1019;0;0;1;1;0;0;0;0;0;0;0;1;1;0
1020;0;0;1;1;0;0;0;0;0;0;0;1;1;0
1021;1;1;0;0;0;0;0;0;0;0;0;1;1;0
1022;0;0;0;0;1;1;1;1;0;0;0;0;0;0
1023;0;0;0;0;1;1;1;1;0;0;1;1;1;0
1024;0;1;1;0;1;1;0;0;0;0;0;1;1;0
1025;0;1;1;0;0;0;0;0;1;1;0;1;1;0
1026;1;1;0;0;0;1;1;1;0;0;0;1;1;0
1027;0;0;0;0;1;1;1;1;0;0;0;1;1;0
1028;1;1;0;0;1;1;0;0;0;0;0;0;0;0
1029;1;0;0;0;0;1;1;0;0;0;0;0;0;0
1030;0;0;0;1;1;0;0;0;0;0;0;1;1;0
1031;0;0;0;0;0;0;0;1;1;0;0;0;0;0
1032;1;1;1;1;0;0;0;0;0;0;0;1;1;0
1033;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1034;0;1;1;0;1;1;0;0;0;1;1;1;1;0
1035;0;0;1;1;0;0;0;0;0;0;0;1;1;0
1036;0;1;1;0;0;0;1;1;0;0;0;1;1;0
1037;1;1;0;0;0;0;0;0;0;0;0;0;0;0
1038;0;0;0;0;0;1;1;0;0;0;1;1;0;0
1039;1;1;0;0;1;1;0;0;0;0;0;1;1;0
1040;1;1;1;0;0;0;0;0;0;0;0;1;1;0
1041;1;1;0;0;0;1;1;1;0;0;0;1;1;0
1042;1;1;1;0;0;0;0;0;0;0;0;1;1;0
1043;0;0;0;1;1;0;0;0;0;0;0;1;1;0
1044;0;0;1;1;1;1;0;0;0;0;0;1;1;0
1045;0;0;0;0;1;1;0;1;1;0;0;0;0;0
1046;0;0;0;0;1;1;0;0;0;0;0;0;0;0
1047;0;0;0;0;1;1;1;1;1;0;0;1;1;0
1048;0;1;1;1;0;0;0;0;0;1;1;1;1;0
